Judul,link,deskripsi
"
						Presiden PKS: UU Cipta Kerja Cacat Substansi, Cacat Juga di Prosedur Pembuatannya 					",https://www.tribunnews.com/nasional/2020/10/10/presiden-pks-uu-cipta-kerja-cacat-substansi-cacat-juga-di-prosedur-pembuatannya,"
					Presiden PKS Ahmad Syaikhu menilai UU Cipta Kerja cacat secara prosedur dan catat secara materil atau subtansi.				"
"
						Sempat Menyampaikan akan Dikunjungi Orang Tuanya, Mahasiswi Ini Tewas dalam Kebakaran di Indekos 					",https://www.tribunnews.com/regional/2020/10/10/sempat-menyampaikan-akan-dikunjungi-orang-tuanya-mahasiswi-ini-tewas-dalam-kebakaran-di-indekos,"
					Kebakaran di indekos di Banda Aceh menewaskan 2 mahasiswi. Pemilik indekos sebut seorang korban sempat menyampaikan akan dikunjungi orang tuanya.				"
"
						Imbas Aksi Tolak UU Cipta Kerja, Perbaikan Halte Transjakarta Butuh Waktu 1-2 Bulan 					",https://www.tribunnews.com/metropolitan/2020/10/10/imbas-aksi-tolak-uu-cipta-kerja-perbaikan-halte-transjakarta-butuh-waktu-1-2-bulan,"
					Setidaknya ada sebanyak 46 (empat puluh enam) halte terdampak dengan total kerugian diperkirakan hingga mencapai Rp 65 milliar				"
"
						100 Ojol Bersihkan Malioboro Usai Resto Legian Hingga Kendaraan Polisi Dibakar Massa Saat Demo 					",https://www.tribunnews.com/nasional/2020/10/10/100-ojol-bersihkan-malioboro-usai-resto-legian-hingga-kendaraan-polisi-dibakar-massa-saat-demo,"
					Unjuk rasa UU Cipta Kerja di Malioboro rusuh hingga restoran terbakar, pengemudi ojek online membersihkan lokasi Malioboro				"
"
						Ngaku Bukan Istri Polisi, Wanita Rambut Merah Traktir Mahasiswa di Tengah Demo UU Cipta Kerja 					",https://www.tribunnews.com/regional/2020/10/10/ngaku-bukan-istri-polisi-wanita-rambut-merah-traktir-mahasiswa-di-tengah-demo-uu-cipta-kerja,"
					Wanita dengan penampilan nyentrik itu mengajak para demonstran yang didominasi mahasiswa untuk tidak bertindak anarki.				"
"
						Komisi I Minta TPN-OPM Kedepankan Ruang Dialog 					",https://www.tribunnews.com/nasional/2020/10/10/komisi-i-minta-tpn-opm-kedepankan-ruang-dialog,"
					Yan mengaku kaget dua orang anggota tim pencari fakta yang menjadi korban penembakan dan pihaknya terus memantau kondisi di Papua				"
"
						Honda Jazz Hilang Kendali di Pulogadung, Mobil Tabrak Wanita Tanpa Identitas hingga Tewas Seketika 					",https://www.tribunnews.com/metropolitan/2020/10/10/honda-jazz-hilang-kendali-di-pulogadung-mobil-tabrak-wanita-tanpa-identitas-hingga-tewas-seketika,"
					Pengendara mobil Honda Jazz  2748-KFW berinisial MA (23) menabrak seorang wanita tanpa identitas.				"
"
						Presiden PKS Sebut Lima Poin Cacat Subtansi dalam UU Cipta Kerja 					",https://www.tribunnews.com/nasional/2020/10/10/presiden-pks-sebut-lima-poin-cacat-subtansi-dalam-uu-cipta-kerja,"
					Secara prosedur UU Cipta Kerja ini tidak transparan, tidak sesuai dengan tata cara atau asas dalam pembentukan sebuah peraturan perundang-undangan				"
"
						Kunci Jawaban Tema 4 Kelas 4 SD Halaman 1 - 11 Buku Tematik Subtema 1 Pembelajaran 1 					",https://www.tribunnews.com/pendidikan/2020/10/10/kunci-jawaban-tema-4-kelas-4-sd-halaman-1-11-buku-tematik-subtema-1-pembelajaran-1,"
					Kunci jawaban Tema 4 Subtema 1 Pembelajaran 1 Kelas 4 SD/MI Buku Siswa Tematik Terpadu Kurikulum 2013 edisi revisi 2017 Berbagai Pekerjaan.				"
"
						Baru Seminggu Tinggal di Indekos, Dua Mahasiswi Terjebak di Lantai 2 dan Tewas dalam Kebakaran 					",https://www.tribunnews.com/regional/2020/10/10/baru-seminggu-tinggal-di-indekos-dua-mahasiswi-terjebak-di-lantai-2-dan-tewas-dalam-kebakaran,"
					Terjebak di lantai dua indekos, dua mahasiswi Akper Fakinah Banda Aceh tewas dalam peristiwa kebakaran.				"
"
						'Keranda' Puan Maharani Membawa Sari Labuna Jadi Tersangka Demo Tolak UU Cipta Kerja di Makassar 					",https://www.tribunnews.com/regional/2020/10/10/keranda-puan-maharani-membawa-sari-labuna-jadi-tersangka-demo-tolak-uu-cipta-kerja-di-makassar,"
					Perempuan berhijab itu turut ditangkap saat polisi berhasil memukul mundur pengunjuk rasa Tolak Omnibus Law yang menamakan diri Bar-bar.				"
"
						Kunci Jawaban Tema 3 Buku Tematik Kelas 3 SD Halaman 61 62 65 66 67 Subtema 2 Pembelajaran 1 					",https://www.tribunnews.com/pendidikan/2020/10/10/kunci-jawaban-tema-3-buku-tematik-kelas-3-sd-halaman-61-62-65-66-67-subtema-2-pembelajaran-1,"
					Berikut ini Kunci Jawaban Tema 3 Buku Tematik Kelas 3 SD/MI Halaman 61 62 65 66 67 Subtema 2 Pembelajaran 1				"
"
						VIRAL Mahasiswa Kerjakan UTS Sambil Demo Tolak UU Cipta Kerja, Sudah Bawa Papan Ujian dari Rumah 					",https://www.tribunnews.com/regional/2020/10/10/viral-mahasiswa-kerjakan-uts-sambil-demo-tolak-uu-cipta-kerja-sudah-bawa-papan-ujian-dari-rumah,"
					Viral aksi mahasiswa mengerjakan ujian tengah semester (UTS) di tengah aksi demo tolak Undang-undang (UU) Cipta Kerja.				"
"
						Labfor Mabes Polri Olah TKP Legian Resto, Ini Temuannya 					",https://www.tribunnews.com/regional/2020/10/10/labfor-mabes-polri-olah-tkp-legian-resto-ini-temuannya,"
					Labfor masih akan melakukan koordinasi dengan Polda DIY dan Polresta Yogyakarta dalam penanganan insiden dan menggabungkan sejumlah barang bukti				"
"
						6 Pengunjuk Rasa Tolak UU Cipta Kerja di Makassar Jadi Tersangka, Seorang di Antaranya Mahasiswi 					",https://www.tribunnews.com/regional/2020/10/10/6-pengunjuk-rasa-tolak-uu-cipta-kerja-di-makassar-jadi-tersangka-seorang-di-antaranya-mahasiswi,"
					Keenam orang yang ditetapkan tersangka berinisial, KI, IE, NT, MF, DA, dan seorang perempuan atau mahasiswi SL				"
"
						Polda Metro Tetapkan 87 Orang Jadi Tersangka Demo Penolakan UU Cipta Kerja 					",https://www.tribunnews.com/metropolitan/2020/10/10/polda-metro-tetapkan-87-orang-jadi-tersangka-demo-penolakan-uu-cipta-kerja,"
					Penetapan sejumlah tersangka itu usai penyidik melakukan pemeriksaan pendalaman terhadap 285 orang yang diamankan dari demo memprotes UU Cipta Kerja.				"
"
						Ibunya Diperkosa, Anak 9 Tahun Berusaha Menolong hingga Menjadi Korban Bacok dan Dibawa Kabur Pelaku 					",https://www.tribunnews.com/regional/2020/10/10/ibunya-diperkosa-anak-9-tahun-berusaha-menolong-hingga-menjadi-korban-bacok-dan-dibawa-kabur-pelaku,"
					Bela ibu yang diperkosa, seorang anak berusia 9 tahun dibacok dan dibawa kabur pelaku.				"
"
						Hubungan Badan dengan Tiga Muridnya, Ibu Guru Ini Hamil dan Skandal Ini Terungkap Gara-Gara Ini 					",https://www.tribunnews.com/internasional/2020/10/10/hubungan-badan-dengan-tiga-muridnya-ibu-guru-ini-hamil-dan-skandal-ini-terungkap-gara-gara-ini,"
					Oknum guru itu seorang ibu tunggal, terlebih dulu menidurkan anak kecilnya sebelum membujuk korban pertama ke kamar untuk melakukan adegan ranjang				"
"
						Dua Pasien Covid-19 di Lampung Meninggal, Jenazahnya Dibawa Pulang Keluarga Tanpa Protokol Kesehatan 					",https://www.tribunnews.com/regional/2020/10/10/dua-pasien-covid-19-di-lampung-meninggal-jenazahnya-dibawa-pulang-keluarga-tanpa-protokol-kesehatan,"
					Pasien yang meninggal tidak memiliki riwayat perjalanan maupun kontak dengan pasien Covid-19.				"
"
						Sekjen MUI Sesalkan Tindakan Represif Polisi Terhadap Demonstran Penolak UU Cipta Kerja 					",https://www.tribunnews.com/nasional/2020/10/10/sekjen-mui-sesalkan-tindakan-represif-polisi-terhadap-demonstran-penolak-uu-cipta-kerja,"
					Sekjen MUI mempertanyakan mengapa kepolisian melakukan tindakan represif itu, padahal mereka dibayar dengan uang rakyat.				"
"
						Kunci Jawaban Tema 4 Kelas 6 Halaman 45 46 47 48 49 Buku Tematik Pembelajaran 6 Subtema 1 					",https://www.tribunnews.com/pendidikan/2020/10/10/kunci-jawaban-tema-4-kelas-6-halaman-45-46-47-48-49-buku-tematik-pembelajaran-6-subtema-1,"
					Kunci jawaban Tema 4 Kelas 6 SD/MI halaman 45 46 47 48 49 Subtema 1 Pembelajaran 6 Buku Siswa Tematik Terpadu Kurikulum 2013 edisi revisi 2018.				"
"
						Positif Covid-19 Tanpa Gejala, Wanita Ini Malah Ikut Rombongan Piknik ke Bali, Begini Akibatnya 					",https://www.tribunnews.com/regional/2020/10/10/positif-covid-19-tanpa-gejala-wanita-ini-malah-ikut-rombongan-piknik-ke-bali-begini-akibatnya,"
					Sudah dinyatakan positif Covid-19, seorang wanita justru tetap nekat ikut rombongan piknik ke Bali.				"
"
						Copet di Depok Ini Mengaku Punya Jimat Tali Pocong Jenazah, Modusnya Pura-pura Epilepsi 					",https://www.tribunnews.com/nasional/2020/10/10/copet-di-depok-ini-mengaku-punya-jimat-tali-pocong-jenazah-modusnya-pura-pura-epilepsi,"
					Komplotan copet antar kota antar provinsi (AKAP) ini percaya aksi mereka bakal mulus jika membawa jimat setiap kali beraksi jahat.				"
"
						Didatangi Perempuan Tinggi lalu Bahu Ditepuk dan Diajak ke Rumah, Rp 5 Juta Milik Ibu Ini Raib 					",https://www.tribunnews.com/regional/2020/10/10/didatangi-perempuan-tinggi-lalu-bahu-ditepuk-dan-diajak-ke-rumah-rp-5-juta-milik-ibu-ini-raib,"
					Mengaku dihampiri sosok perempuan tinggi lalu bahu ditepuk dan diajak ke rumah, wanita ini jadi korban hipnotis. Uang Rp 5 juta raib.				"
